Season_Epi_code,Pitched_Business_Identifier,Pitched_Business_Desc
410,Nearly Newlywed,"a bridal dress boutique which buys, sells, and rents online . a bridal dress boutique which buys, sells, and rents online"
104,Gift Card Rescue,a web site that buys and resells unused gift cards . a web site that buys and resells unused gift cards
415,The Green Garmento,an eco-friendly garment bag . an eco-friendly garment bag
823,Flag,a free photo printing service that prints ads on the back of the photos 
629,Budsies,a company that creates custom plush toys based on children's drawings 
605,The Caddy Girls,a company that provides all-female golf caddys . a company that provides all-female golf caddys
611,SkinnyShirt,"a cross between a button-down shirt and a camisole specially designed to reduce bulk .  SkinnyShirt gives you a collared shirt without the clunky bunchiness a normal collared shirt gives you. Skinny Shirt is perfectly knit cami combined with a favorite button down. 90% nylon and 10% spandex, the SkinnyShirt body is a stretchy knit that smoothes and better shapes around your figure. It can be paired with just about anything in your closet such as v-necks, crew necks, cardigans, shift dresses, blazers and more."
704,Rent Like a Champion,"a service to rent homes in collegiate sports towns on game weekends . Rent Like a Champion is the AirBnB for college games, graduation ceremonies, etc. They provide private home rentals near campus in college towns around the country so you can have a place to stay when you go see your favorite college sports game, or see your favorite college kid graduate."
715,Hungry Harvest,"""Hungry Harvest"" a service delivering less-appealing surplus produce at lower costs. Hungry Harvest sources produce that would normally go to waste and recaptures it to and delivers it to reduce food waste and feed hungry families."
523,Happy Feet,"fanciful slippers . If you are a slippers in the home kind of person, Happy Feet areÂ right up your alley. With superior quality and uniquelyÂ plumpÂ by design, Happy Feet slippers are ULTRA comfortable fuzzy slippers for both him and her. They are available in the Original Happy Feet design, Animal Characters, Holiday Themed Animals and your favorite sports teams. Aside from looking damn comfortable, these fat slippers keep your feet warn."
201,Games2U,mobile party games franchise 
824,Thompson Tee,"undershirts designed to block underarm sweat . The Thompson Tee is a unique undershirt that blocksÂ underarm sweat and preventsÂ embarrassing wet marks and yellow stains. It is sweat-proof technology which provides a safe, affordable and convenient solution to excessive underarm sweat."
801,ISlide,"fully customizable slip-on sandals . ISlides are personalized slide sandals. You can customize them with pictures, mantras, or team logos to represent your life or sport in comfort and style."
615,BeverageBoy,a beverage koozie that floats in water 
413,Teddy Needs a Bath,a bag for cleaning stuffed toys in the washing machine . a bag for cleaning stuffed toys in the washing machine
624,SnagaStool,"a barstool reservation app . Snag a Stool is an app that solves the tired problem of hovering when waiting to get a seat in a crowded restaurant or bar. Only in Boston so far, this app helps you save a seat at a favorite spot on a busy or popular night."
810,ENERGYbits,"algae tablets to increase energy and focus . EnergyBits offers algae tabs to eliminate fatigue and hunger. It delivers a boost of natural energy, without caffeine or harmful chemicals."
420,Drop Stop,"a device to stop objects from falling between a car seat and the center console . Ever accidentally drop a quarter or a precious curly fry in between the crevices of your car seats? Another one of Lori Grienerâ€™s heroes, Drop Stop does exactly what it says and prevents objects from annoyingly falling between those hard to reach places of your vehicle."
423,Shell Bobbers,"a shotgun shell converted into a fishing bobber . Shell Bobbers was initially an idea spawned when two best friends, Jeff and Dusty were out on a boat duck hunting. After discharging their shotgun, they noticed the empty shell floating straight up in the water. â€˜AHA!â€™. Made in the USA, Shell Bobbers comes 3 in a pack and isÂ perfect for the Bobber Fisher or even as a gift for the fishing enthusiast."
708,Wink Frozen Desserts,"a healthier alternative to ice cream that is dairy free, vegan, and just 100-calories per pint . Wink Frozen Deserts is a non-dairy, non-gluten, healthy alternative for ice cream. They have 10 very cool flavors and most are only 100 calories for an entire pint."
408,PlateTopper,airtight plate covers . airtight plate cover
721,Bee Free Honee,"an apple-based vegan alternative to honey . Bee Free HoneeÂ® is a plant-based, honey substitute made from organic apples grown in the USA."
817,Toymail,"a plush toy that allows children to send voice messages to approved contacts . Toymail is an interesting and needful app that allows kids to voice chat with friends and family without using a phone. It works through toys. With just a push of a button, kids can connect to Mom, Dad, Grandparents and friends at any time, from anywhere."
511,SpiritHoods,furry hoods that resemble animals . furry hoods that resemble animals
515,FitDeck,custom playing cards for exercising . custom playing cards for exercise
622,BoobyPack,a sports bra with pockets for holding valuables 
207,Sweep Easy,a broom with a built-in scraper 
524,PowerPot,a cooking pot that generates electricity as you heat up water . a cooking pot that generates electricity as you heat up water
402,CATEapp,a smartphone app that hides messages from certain contacts . a smartphone app that hides messages from certain contacts
509,Surprise Ride,a monthly box of themed educational activities for children . a monthly box of themed educational activities for children
406,Cousins Maine Lobster,a food truck serving lobster from Maine . mobile food truck
819,RareForm,"backpacks and bags made from recycled billboards . Rareform transforms billboard vinyls intoÂ stylish bags and backpacks which areÂ unique, bold, and eco-friendly. it makes for the perfect material to create one-of-a-kind designs."
523,Velocity Signs,robotic sign waving machines . robotic sign waving machines
826,Rocketbook,a notebook that can scan contents to cloud services via an app and can be erased by being microwaved . Rocketbook is an intelligent reusable notebook that allows users to write with a traditional pen and notebook. The notebook is erasable and reusable by allowing users to send notes to the cloud. Simply use a smartphone to send writings to the cloud and a microwave oven to erase for future use.
403,Liz Lovely Cookies,"gluten free, vegan cookies . gluten free, vegan cookies"
814,RinseKit,a portable shower system . RinseKit is the revolutionary portable shower system with a pressurized capacity without pumping or batteries. ThisÂ pressurized spray lasts for up to four minutes and is ideal for a quick rinse off for both humans and animals alike.
506,Ten Thirty One Productions,an entertainment company specializing in horror attractions . entertainment company specializing in horror attractions
